TEST PARAMETERS:,Ideal,High,Low,Location,Description
Pedal at Rest Location,0,1.11,-1.11,0,Pedal-at-rest location (pedal zero) specification
Index 1 - Full-Close (Output #1),20,20.7,19.3,0,Index 1 (Full-Close) Ideal & Tolerance in % of VRef ->Measured Statically - prior to scan
Index 2 - Midpoint (Output #1),53,99,-99,7,Index 2 (Midpoint) Ideal & Tolerance in % of VRef - Location in ° from pedal-at-rest location
Index 3 - Full-Open (Output #1),90,92,88,15.1,Index 3 (Full-Open) Ideal & Tolerance in % of VRef - Location in ° from pedal-at-rest location
Maximum Output (Output #1),95,96,94,N/A,Maximum Output
Single Point Linearity (Output #1 - Region #1 - Start),0,1,-1,0,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #1 - Stop),0,1.5,-1.5,4.3,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #2 - Start),0,1.5,-1.5,4.3,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #2 - Stop),0,2,-2,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #3 - Start),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #3 - Stop),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #4 - Start),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #4 - Stop),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #5 - Start),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #1 - Region #5 - Stop),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #1 - Start),0,3,-3,0,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #1 - Stop),0,3,-3,15.1,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #2 - Start),0,99,-99,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #2 - Stop),0,99,-99,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #3 - Start),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #3 - Stop),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #4 - Start),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #4 - Stop),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #5 - Start),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #1 - Region #5 - Stop),4.6358,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Slope (Output #1 - Start),2.3411,1.4,0.6,0.3,Ideal Slope - Slope Tolerance as a Ratio of the Ideal Slope - Location in ° from pedal-at-rest location
Slope (Output #1 - Stop),4.6823,1.4,0.6,15.1,Ideal Slope - Slope Tolerance as a Ratio of the Ideal Slope - Location in ° from pedal-at-rest location
Full-Close Hysteresis (Output #1),0,0.2,-0.2,0,Full-Close Hysteresis Ideal & Tolerance in % of VRef ->Measured Statically - prior to scan and after scan
MLX Idle Current (Output #1),10,12,8,N/A,MLX Idle Current (mA)
MLX WOT Current (Output #1),N/A,1,-1,N/A,MLX WOT Current (mA)
Evaluate Start (Output #1),N/A,N/A,N/A,0,Evaluation Region Start (Start Point for Graphs)
Evaluate Stop (Output #1),N/A,N/A,N/A,18.2,Evaluation Region Stop (Stop Point for Graphs)
Index 1 - Full-Close (Output #2),10,10.7,9.3,0,Index 1 (Full-Close) Ideal & Tolerance in % of VRef ->Measured Statically - prior to scan
Index 2 - Midpoint (Output #2),26.5,99,-99,7,Index 2 (Midpoint) Ideal & Tolerance in % of VRef - Location in ° from pedal-at-rest location
Index 3 - Full-Open (Output #2),45,47,43,15.1,Index 3 (Full-Open) Ideal & Tolerance in % of VRef - Location in ° from pedal-at-rest location
Maximum Output (Output #2),47.5,48.5,46.5,N/A,Maximum Output
Single Point Linearity (Output #2 - Region #1 - Start),0,1,-1,0,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #1 - Stop),0,1.5,-1.5,4.3,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #2 - Start),0,1.5,-1.5,4.3,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #2 - Stop),0,2,-2,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #3 - Start),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #3 - Stop),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #4 - Start),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #4 - Stop),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #5 - Start),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Single Point Linearity (Output #2 - Region #5 - Stop),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #1 - Start),0,3,-3,0,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #1 - Stop),0,3,-3,15.1,Linearity Region #1 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #2 - Start),0,99,-99,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #2 - Stop),0,99,-99,15.1,Linearity Region #2 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #3 - Start),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #3 - Stop),0,99,-99,15.1,Linearity Region #3 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #4 - Start),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #4 - Stop),0,99,-99,15.1,Linearity Region #4 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #5 - Start),0,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Absolute Linearity (Output #2 - Region #5 - Stop),2.3179,99,-99,15.1,Linearity Region #5 Tolerance in % of VRef - Location in ° from pedal-at-rest location
Slope (Output #2 - Start),1.1706,1.4,0.6,0.3,Ideal Slope - Slope Tolerance as a Ratio of the Ideal Slope - Location in ° from pedal-at-rest location
Slope (Output #2 - Stop),2.3411,1.4,0.6,15.1,Ideal Slope - Slope Tolerance as a Ratio of the Ideal Slope - Location in ° from pedal-at-rest location
Full-Close Hysteresis (Output #2),0,0.2,-0.2,0,Full-Close Hysteresis Ideal & Tolerance in % of VRef ->Measured Statically - prior to scan and after scan
MLX Idle Current (Output #2),10,12,8,N/A,MLX Idle Current (mA)
MLX WOT Current (Output #2),N/A,1,-1,N/A,MLX WOT Current (mA)
Evaluate Start (Output #2),N/A,N/A,N/A,0,Evaluation Region Start (Start Point for Graphs)
Evaluate Stop (Output #2),N/A,N/A,N/A,18.2,Evaluation Region Stop (Stop Point for Graphs)
Forward Output Correlation (Region #1 - Start),2,0.5,-0.5,0,Output Correlation Region #1 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #1 - Stop),2,0.7,-0.7,2.3,Output Correlation Region #1 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #2 - Start),2,0.7,-0.7,2.3,Output Correlation Region #2 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #2 - Stop),2,1,-1,3.1,Output Correlation Region #2 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #3 - Start),2,1,-1,3.1,Output Correlation Region #3 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #3 - Stop),2,1.5,-1.5,15.1,Output Correlation Region #3 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #4 - Start),2,1.5,-1.5,15.1,Output Correlation Region #4 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #4 - Stop),2,1.5,-1.5,18.2,Output Correlation Region #4 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #5 - Start),2,1.5,-1.5,18.2,Output Correlation Region #5 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Output Correlation (Region #5 - Stop),2,1.5,-1.5,18.2,Output Correlation Region #5 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #1 - Start),2,0.5,-0.5,0,Output Correlation Region #1 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #1 - Stop),2,0.7,-0.7,2.3,Output Correlation Region #1 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #2 - Start),2,0.7,-0.7,2.3,Output Correlation Region #2 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #2 - Stop),2,1,-1,3.1,Output Correlation Region #2 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #3 - Start),2,1,-1,3.1,Output Correlation Region #3 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #3 - Stop),2,1.5,-1.5,15.1,Output Correlation Region #3 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #4 - Start),2,1.5,-1.5,15.1,Output Correlation Region #4 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #4 - Stop),2,1.5,-1.5,18.2,Output Correlation Region #4 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #4 - Stop),2,1.5,-1.5,18.2,Output Correlation Region #5 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Reverse Output Correlation (Region #5 - Stop),2,1.5,-1.5,18.2,Output Correlation Region #5 - Ideal Ratio of Output #2 to Output #1 - Tolerance in % of VRef - Location in ° from pedal-at-rest location
Forward Force Point #1,20.86,24.19,17.53,1,Force Specification in N - location in °
Forward Force Point #2,25,99,-99,7,Force Specification in N - location in °
Forward Force Point #3,35.7,40.88,30.53,15.1,Force Specification in N - location in °
Reverse Force Point #1,10.49,13.15,7.82,1,Force Specification in N - location in °
Reverse Force Point #2,14,99,-99,7,Force Specification in N - location in °
